epsilon,n_sims,mean_beta1,bias_beta1,std_beta1,rmse_beta1,coverage_intercept,coverage_beta1,coverage_beta2,dp_mse,ols_mse,efficiency_ratio
0.5,100,222750715.40741122,222750714.40741122,1925691341.5691435,1938531666.9488225,1.0,1.0,0.99,3.7208221523334364e+18,0.0010931554654936848,3.403744727794101e+21
1.0,100,251189556.32623887,251189555.32623887,901228286.5218074,935579294.9461989,1.0,0.99,0.98,8.671864928877563e+17,0.0010365507455466726,8.366078521610688e+20
2.0,100,21774691.28558809,21774690.28558809,180942125.01068,182247605.5821141,0.97,0.95,0.93,3.288678921438002e+16,0.001133725849987982,2.900770871082161e+19
5.0,100,1.0342881497631782,0.03428814976317818,0.47484048693478104,0.4760768480472896,0.88,0.94,0.99,0.2243944303663175,0.0008788718193509932,255.32099838179198
10.0,100,1.0241255042525306,0.024125504252530572,0.2319656736131717,0.23321688122914982,0.96,0.91,0.95,0.053852032952903243,0.0009571133877521507,56.26505035038596
