epsilon,sim,dp_intercept,dp_beta1,dp_beta2,dp_se_intercept,dp_se_beta1,dp_se_beta2,dp_covered_intercept,dp_covered_beta1,dp_covered_beta2,ols_intercept,ols_beta1,ols_beta2
0.5,0,-8.865188351461711,-6.432196569684646,-1.4604641172220705,144.42326884772072,15.499271437668579,9.259411785278969,True,True,True,0.04496197470345577,0.9538017744896952,2.0092769365482743
0.5,1,296100939.57676715,-2018513624.1525488,3760006792.885744,2121939116653341.0,6.72215607071784e+17,4.3448963854631306e+18,True,True,True,0.010328932525563765,1.0100812135356245,1.9822275751571252
0.5,2,0.474001448863054,-8.923898834879838,6.907273477497457,2.5108942416159246,77.45490249453535,51.14672062376908,True,True,True,-0.0004233122749536019,0.9528161950661619,2.0265090341497602
0.5,3,-1807959608.7587214,3976556091.4118643,6441495400.574222,1.4592647227005827e+17,1.552706063982654e+18,6.599758037239806e+18,True,True,True,0.0077064796200466,0.9759292776753317,2.089083280547619
0.5,4,2621793003.0525713,3437468058.598072,3126293699.2763143,9.47025597708517e+17,2.1344330194953907e+18,1.605668334792161e+18,True,True,True,0.040503393057585206,1.0211999831980583,2.0137538265904116
0.5,5,-7291006383.989678,1657241853.23845,2006755891.2144423,9.672959569707084e+18,1.1359379754796507e+17,2.016882412037078e+17,True,True,True,0.04482074067984201,0.9663714532595831,2.0992541740234962
0.5,6,18996355.663842972,-77471973.01576039,-98193345.34762737,640650850051840.9,4.345546375859331e+16,8.848236707024232e+16,True,True,True,0.002759456244815963,1.0245258174446366,1.9400807055355536
0.5,7,581697650.6389967,23044536.263070043,1480460951.6961377,1.1633622175598533e+17,7233238965416.693,1.9178466606029763e+18,True,True,True,-0.0933852870851911,0.9831832228283364,1.9672124727767488
0.5,8,-1092775678.8432217,4274676734.5746994,1091192193.694914,9.448626527776618e+16,5.655688113131133e+18,9.407611437151237e+16,True,True,True,0.010616669494827327,1.0037561105729482,2.0821872479072496
0.5,9,-560476081.2320945,3864487578.3754373,1617469710.1799402,1.4741307490904192e+16,4.83215100559368e+18,3.543016859627994e+17,True,True,True,-0.008131235298020227,0.9224833163832051,2.015164702086296
0.5,10,-851472279.0765668,2347345365.0133357,6490684005.647639,1.9091823000650604e+16,4.0000629859089894e+17,8.456823215287668e+18,True,True,True,0.0054164180424555244,0.9987453721728847,1.9925347256589157
0.5,11,-2465949915.644515,3645487621.3472843,-418787526.6749612,1.147508071487321e+18,3.70740368469266e+18,5620620025406857.0,True,True,True,-0.032605182035611746,1.0197648677302626,1.979143036739988
0.5,12,126721860.44573289,-2606415588.832473,406731120.10305446,436390798406173.44,3.7970988025079654e+18,1.4429228690956552e+16,True,True,True,-0.027946329971762808,0.994167238189297,2.0079112106012866
0.5,13,-507917430.3414305,494493086.7583583,-327536798.0653193,3.2141143921806483e+17,2.965941970821979e+17,8.619107041237114e+16,True,True,True,-0.015855567782847295,1.0116115819326508,1.9814039092829647
0.5,14,-1749794949.391045,-84020477.56554882,501711555.10005486,2.4132856606302884e+18,267179253467587.84,5.688654650908681e+16,True,True,True,-0.029339364877883023,0.9863132436303198,2.053464328966084
0.5,15,2146912325.3375227,6886960552.660262,4459777108.285097,2.0577677092133686e+17,6.792602564565826e+18,1.844560398265249e+18,True,True,True,0.008313951792413565,1.0675836574449853,1.9566097090792303
0.5,16,-768668432.1610703,862810636.9433473,239553477.15422478,4.8778040487554054e+17,6.898484279529676e+17,1.4764360872648166e+16,True,True,True,0.0036253501211920454,1.0738980558450355,2.06439344641027
0.5,17,-3126174701.179579,-1517263249.454087,604501502.1500331,3.6733378137303004e+18,4.199561576526449e+17,2.6559096397152036e+16,True,True,True,0.024022482636171037,0.9624491729790936,2.0752533819512187
